month_number,gsv_keur_2023,gsv_keur_2024,turnover_keur_2023,turnover_keur_2024,discount_keur_2023,discount_keur_2024,to_change_keur,to_growth_pct,half
1,26913.9,30748.9,21234.1,24504.9,5679.8,6244.0,3270.800000000003,0.15403525461404066,H1
2,31575.6,21496.8,24409.7,16927.6,7165.9,4569.2,-7482.100000000002,-0.30652158772946825,H1
3,33723.8,39308.2,26377.5,31281.9,7346.299999999999,8026.3,4904.4000000000015,0.18593119135626957,H1
4,25376.3,26979.0,19656.1,20821.5,5720.2,6157.5,1165.4000000000015,0.05928948265423983,H1
5,32782.6,29955.0,25398.399999999998,23000.3,7384.200000000001,6954.7,-2398.0999999999985,-0.09441933350132292,H1
6,32698.6,32121.2,25289.6,24987.6,7409.0,7133.599999999999,-302.0,-0.011941667721118598,H1
7,29435.4,29893.7,23359.7,22438.6,6075.7,7455.099999999999,-921.1000000000022,-0.039431157078215984,H2
8,31040.6,29276.4,24451.3,22316.7,6589.299999999999,6959.700000000001,-2134.5999999999985,-0.08730006175540761,H2
9,31707.0,25982.100000000002,24896.3,19594.8,6810.700000000001,6387.3,-5301.5,-0.21294328876178392,H2
10,33481.3,28312.5,26219.3,21787.4,7262.0,6525.099999999999,-4431.899999999998,-0.16903197263084824,H2
11,30124.4,27152.3,23027.2,20382.0,7097.2,6770.3,-2645.2000000000007,-0.1148728460255698,H2
12,32668.8,28021.5,25747.7,22461.0,6921.1,5560.5,-3286.7000000000007,-0.12765023672017306,H2
