check,framework,computed,difference,status
2.1 raw GSV FY2023,371528.3,371528.3,0.0,PASS
2.1 raw GSV FY2024,349247.6,349247.6,0.0,PASS
2.1 raw TO FY2023,290066.9,290066.9,0.0,PASS
2.1 raw TO FY2024,270504.3,270504.3,0.0,PASS
2.1 raw Discount FY2023,81461.4,81461.4,0.0,PASS
2.1 raw Discount FY2024,78743.3,78743.29999999999,-1.4551915228366852e-11,PASS
2.1 TO>GSV rows FY2023 TO,2574.5,2574.5,0.0,PASS
2.1 TO>GSV rows FY2024 TO,3173.0,3173.0,0.0,PASS
4.6 Gross Profit FY2023,138723.9,138723.85499999992,-0.045000000071013346,PASS
4.6 Gross Profit FY2024,128421.7,128421.74500000008,0.04500000008556526,PASS
4.6 Gross Profit change,-10302.1,-10302.10999999984,-0.009999999840147211,PASS
4.6 Gross Margin FY2023 %,47.82,47.82477938710002,0.004779387100022348,PASS
4.6 Gross Margin FY2024 %,47.47,47.47493662762478,0.004936627624779533,PASS
4.6 Gross Margin movement bps,-35.0,-34.9842759475244,0.015724052475597716,PASS
4.6 Marketing FY2023,58000.0,58000.0,0.0,PASS
4.6 Marketing FY2024,42500.0,42500.0,0.0,PASS
4.6 Marketing change,-15500.0,-15500.0,0.0,PASS
4.6 PBO FY2023,80723.9,80723.85499999992,-0.045000000071013346,PASS
4.6 PBO FY2024,85921.7,85921.74500000008,0.04500000008556526,PASS
4.6 PBO change,5197.9,5197.8900000001595,-0.009999999840147211,PASS
4.6 PBO margin FY2023 %,27.83,27.829392116094592,-0.0006078839054062257,PASS
4.6 PBO margin FY2024 %,31.76,31.763541281968543,0.003541281968541199,PASS
4.6 PBO margin movement bps,393.0,393.4149165873951,0.41491658739511195,PASS
4.6 PBO bridge residual,0.0,0.0,0.0,PASS
4.6 Supply chain cost change,-9260.0,-9260.489999999787,-0.48999999978695996,PASS
4.6 Supply Chain Cost/TO FY2023 %,52.18,52.175220612899984,-0.004779387100015242,PASS
4.6 Supply Chain Cost/TO FY2024 %,52.53,52.52506337237522,-0.004936627624779533,PASS
4.6 Supply Chain Cost/TO movement bps,35.0,34.98427594752385,-0.01572405247615194,PASS
4.7 Category growth %,-1.3,-1.3071895424836555,-0.007189542483655442,PASS
4.7 UniSweet growth %,-4.3,-4.314425380004138,-0.01442538000413851,PASS
4.7 UniSweet share movement pp,-1.97,-1.9699500000000043,4.9999999995664623e-05,PASS
4.7 OLIVE share movement pp,-2.98,-2.977349999999994,0.0026500000000058144,PASS
4.7 SKY share movement pp,0.45,0.4496499999999999,-0.000350000000000128,PASS
4.7 COBALT share movement pp,0.56,0.5588999999999995,-0.001100000000000545,PASS
4.7 DT UniSweet share movement pp,-0.28,-0.27830000000000865,0.001699999999991375,PASS
4.7 MT UniSweet share movement pp,-6.07,-6.07085,-0.0008499999999997954,PASS
4.7 NAVY DT share movement pp,0.84,0.8424900000000006,0.0024900000000006584,PASS
4.7 LILAC MT share movement pp,5.53,5.533110000000001,0.0031100000000003902,PASS
4.7 OLIVE-MT share movement pp,-7.88,-7.88324999999999,-0.003249999999989761,PASS
